         100040387 function calls (100020844 primitive calls) in 21.030 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      616    0.022    0.000    0.049    0.000 arrayprint.py:966(fillFormat)
        1    0.000    0.000    0.047    0.047 raw.py:1(<module>)
        3    0.000    0.000    0.044    0.015 _default_app.py:13(use_app)
        1    0.000    0.000    0.044    0.044 application.py:44(__init__)
        1    0.000    0.000    0.044    0.044 application.py:179(_use)
      6/2    0.000    0.000    0.044    0.022 {built-in method builtins.__import__}
        1    0.000    0.000    0.042    0.042 _pyqt5.py:1(<module>)
     1602    0.014    0.000    0.042    0.000 color_array.py:39(_user_to_rgba)
      309    0.001    0.000    0.041    0.000 glir.py:1326(draw)
    36/31    0.000    0.000    0.039    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.038    0.038    0.038    0.038 {built-in method create}
    46/42    0.000    0.000    0.038    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
      6/2    0.000    0.000    0.037    0.018 <frozen importlib._bootstrap_external>:1291(create_module)
      6/2    0.034    0.006    0.037    0.018 {built-in method _imp.create_dynamic}
      630    0.001    0.000    0.037    0.000 color_array.py:135(__init__)
      616    0.001    0.000    0.037    0.000 arrayprint.py:806(_formatArray)
     2634    0.004    0.000    0.036    0.000 multiprogram.py:98(__setitem__)
11396/616    0.016    0.000    0.036    0.000 arrayprint.py:815(recurser)
    24099    0.005    0.000    0.035    0.000 random.py:332(randint)
        1    0.000    0.000    0.033    0.033 platform.py:984(system)
        1    0.000    0.000    0.033    0.033 platform.py:895(uname)
        2    0.000    0.000    0.033    0.016 platform.py:322(_wmi_query)
        2    0.033    0.016    0.033    0.016 {built-in method _wmi.exec_query}
      309    0.001    0.000    0.032    0.000 multiprogram.py:107(bind)
      630    0.000    0.000    0.030    0.000 __init__.py:184(check_error)
      630    0.030    0.000    0.030    0.000 _gl2.py:638(glGetError)
    24099    0.012    0.000    0.029    0.000 random.py:291(randrange)
        1    0.000    0.000    0.028    0.028 platform.py:446(win32_ver)
        1    0.000    0.000    0.028    0.028 platform.py:384(_win32_ver)
 2840/624    0.002    0.000    0.022    0.000 chain.py:133(map)
     3006    0.009    0.000    0.022    0.000 program.py:305(__setitem__)
      309    0.007    0.000    0.020    0.000 program.py:143(update_variables)
     1569    0.002    0.000    0.020    0.000 _util.py:111(wrapper)
     1111    0.004    0.000    0.018    0.000 function.py:190(__setitem__)
     5743    0.018    0.000    0.018    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      309    0.000    0.000    0.017    0.000 program.py:104(build_if_needed)
        3    0.000    0.000    0.017    0.006 widget.py:44(__init__)
        2    0.000    0.000    0.017    0.008 program.py:126(_build)
       16    0.000    0.000    0.016    0.001 transform_system.py:138(__init__)
      217    0.001    0.000    0.016    0.000 linear.py:176(_update_shaders)
    24099    0.009    0.000    0.014    0.000 random.py:242(_randbelow_with_getrandbits)
      221    0.001    0.000    0.014    0.000 linear.py:161(_set_st)
      156    0.000    0.000    0.013    0.000 linear.py:147(scale)
        1    0.000    0.000    0.012    0.012 label.py:24(__init__)
        8    0.007    0.001    0.012    0.002 text.py:652(render_to_texture)
      155    0.000    0.000    0.012    0.000 markers.py:807(_prepare_draw)
        8    0.000    0.000    0.012    0.001 visual.py:326(__init__)
      511    0.001    0.000    0.012    0.000 glir.py:1191(set_uniform)
1566/1376    0.002    0.000    0.011    0.000 frozen.py:12(__setattr__)
        4    0.011    0.003    0.011    0.003 _qt.py:341(_vispy_get_native_app)
        2    0.000    0.000    0.011    0.006 application.py:174(native)
     5586    0.004    0.000    0.010    0.000 weakref.py:243(values)
      311    0.001    0.000    0.010    0.000 wrappers.py:186(clear)
       39    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
     1566    0.009    0.000    0.010    0.000 linear.py:96(map)
     8316    0.002    0.000    0.010    0.000 arrayprint.py:1021(<genexpr>)
      154    0.000    0.000    0.010    0.000 transform_system.py:336(pixel_scale)
      120    0.000    0.000    0.010    0.000 chain.py:32(__init__)
      155    0.000    0.000    0.010    0.000 canvas.py:415(swap_buffers)
      310    0.001    0.000    0.010    0.000 visual.py:520(_configure_gl_state)
       11    0.000    0.000    0.010    0.001 visual.py:147(__init__)
      155    0.001    0.000    0.010    0.000 _qt.py:888(_vispy_swap_buffers)
        2    0.000    0.000    0.010    0.005 compiler.py:45(compile)
      310    0.002    0.000    0.009    0.000 wrappers.py:447(set_state)
      801    0.001    0.000    0.009    0.000 color_array.py:229(rgba)
        1    0.000    0.000    0.009    0.009 widget.py:457(add_view)
     7700    0.003    0.000    0.009    0.000 arrayprint.py:779(_extendLine_pretty)
      155    0.001    0.000    0.009    0.000 wrappers.py:218(set_clear_color)
        6    0.000    0.000    0.009    0.001 mesh.py:99(__init__)
        4    0.000    0.000    0.009    0.002 visuals.py:128(__init__)
  160/159    0.000    0.000    0.008    0.000 chain.py:73(transforms)
     2111    0.004    0.000    0.008    0.000 event.py:475(_prepare_event)
     7700    0.006    0.000    0.008    0.000 arrayprint.py:1052(__call__)
       56    0.000    0.000    0.008    0.000 linear.py:83(__init__)
      309    0.002    0.000    0.008    0.000 glir.py:1274(_pre_draw)
      526    0.000    0.000    0.008    0.000 function.py:633(functions)
        8    0.008    0.001    0.008    0.001 __init__.py:467(_get_buffer)
     1240    0.002    0.000    0.008    0.000 fromnumeric.py:69(_wrapreduction)
        1    0.000    0.000    0.007    0.007 viewbox.py:41(__init__)
      171    0.001    0.000    0.007    0.000 color_array.py:392(__init__)
        2    0.000    0.000    0.007    0.004 program.py:176(set_shaders)
     1266    0.002    0.000    0.007    0.000 fromnumeric.py:89(_wrapreduction_any_all)
       39    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
        2    0.006    0.003    0.007    0.004 program.py:244(_parse_variables_from_code)
     1618    0.001    0.000    0.007    0.000 {method 'min' of 'numpy.ndarray' objects}
      159    0.000    0.000    0.007    0.000 glir.py:1395(set_data)
      980    0.001    0.000    0.007    0.000 fromnumeric.py:2400(any)
      411    0.006    0.000    0.007    0.000 {built-in method numpy.zeros}
      616    0.001    0.000    0.007    0.000 fromnumeric.py:2781(max)
111339/111095    0.007    0.000    0.007    0.000 {built-in method builtins.len}
      616    0.004    0.000    0.007    0.000 arrayprint.py:64(_make_options_dict)
    63217    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
     8316    0.004    0.000    0.006    0.000 arrayprint.py:1016(<genexpr>)
     2705    0.001    0.000    0.006    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.006    0.006 text.py:411(__init__)
     1618    0.000    0.000    0.006    0.000 _methods.py:46(_amin)
        1    0.000    0.000    0.006    0.006 canvas.py:166(central_widget)
      468    0.001    0.000    0.006    0.000 node.py:326(update)
     1850    0.001    0.000    0.006    0.000 buffer.py:251(__getitem__)
      526    0.001    0.000    0.006    0.000 function.py:645(_update)
      313    0.006    0.000    0.006    0.000 _gl2.py:1187(glUniform1fv)
        8    0.000    0.000    0.006    0.001 node.py:44(__init__)
     1674    0.006    0.000    0.006    0.000 {method 'astype' of 'numpy.ndarray' objects}
      155    0.006    0.000    0.006    0.000 {built-in method swapBuffers}
       39    0.006    0.000    0.006    0.000 {built-in method _io.open_code}
      159    0.005    0.000    0.006    0.000 _gl2.py:142(glBufferSubData)
       47    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     4379    0.002    0.000    0.006    0.000 _weakrefset.py:27(__exit__)
        2    0.000    0.000    0.006    0.003 compiler.py:125(_rename_objects_pretty)
      164    0.001    0.000    0.005    0.000 glir.py:1556(set_data)
      164    0.001    0.000    0.005    0.000 texture.py:361(_set_data)
     1726    0.003    0.000    0.005    0.000 _util.py:50(as_vec4)
      156    0.000    0.000    0.005    0.000 wrappers.py:562(flush)
     4555    0.003    0.000    0.005    0.000 {built-in method builtins.max}
       46    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
      154    0.000    0.000    0.005    0.000 texture.py:340(set_data)
 3128/312    0.002    0.000    0.005    0.000 copy.py:118(deepcopy)
       46    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
     3331    0.004    0.000    0.005    0.000 shape_base.py:81(atleast_2d)
    15400    0.005    0.000    0.005    0.000 {built-in method numpy._core._multiarray_umath.dragon4_positional}
    13607    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
       65    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
    16066    0.003    0.000    0.005    0.000 random.py:494(uniform)
       28    0.000    0.000    0.005    0.000 _compiler.py:745(compile)
1563/1365    0.001    0.000    0.005    0.000 shader_object.py:137(changed)
        1    0.000    0.000    0.005    0.005 platform.py:772(_get_machine_win32)
       63    0.000    0.000    0.005    0.000 __init__.py:179(sub)
        8    0.000    0.000    0.004    0.001 visuals.py:79(_update_trsys)
     5850    0.002    0.000    0.004    0.000 glir.py:543(command)
        7    0.000    0.000    0.004    0.001 node.py:183(parent)
     7700    0.003    0.000    0.004    0.000 arrayprint.py:765(_extendLine)
        4    0.000    0.000    0.004    0.001 glir.py:919(set_data)
     1618    0.001    0.000    0.004    0.000 {method 'max' of 'numpy.ndarray' objects}
      143    0.000    0.000    0.004    0.000 chain.py:173(_rebuild_shaders)
      240    0.000    0.000    0.004    0.000 function.py:617(__init__)
  359/318    0.000    0.000    0.004    0.000 base_transform.py:146(update)
     2127    0.001    0.000    0.004    0.000 _function_base_impl.py:1461(interp)
     1847    0.002    0.000    0.004    0.000 glir.py:1231(set_attribute)
      164    0.004    0.000    0.004    0.000 _gl2.py:1126(glTexSubImage2D)
       33    0.000    0.000    0.004    0.000 function.py:377(static_names)
      312    0.001    0.000    0.004    0.000 copy.py:217(_deepcopy_dict)
       25    0.001    0.000    0.004    0.000 parsing.py:120(find_program_variables)
    72333    0.004    0.000    0.004    0.000 {built-in method _operator.index}
        4    0.000    0.000    0.004    0.001 glir.py:651(convert_shader)
        4    0.002    0.000    0.004    0.001 glir.py:625(_convert_desktop_shader)
      364    0.000    0.000    0.004    0.000 base_transform.py:67(__init__)
     1111    0.004    0.000    0.004    0.000 eq.py:5(eq)
        4    0.000    0.000    0.004    0.001 function.py:537(static_names)
      446    0.002    0.000    0.004    0.000 {built-in method builtins.sorted}
     1364    0.000    0.000    0.004    0.000 function.py:317(signature)
        3    0.000    0.000    0.004    0.001 visual.py:617(__init__)
      440    0.000    0.000    0.004    0.000 __init__.py:174(search)
      319    0.001    0.000    0.004    0.000 buffer.py:175(set_data)
     1618    0.000    0.000    0.004    0.000 _methods.py:42(_amax)
      687    0.003    0.000    0.004    0.000 numeric.py:143(ones)
      168    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      436    0.001    0.000    0.004    0.000 shader_object.py:22(create)
      156    0.000    0.000    0.004    0.000 glir.py:830(_gl_initialize)
     1928    0.001    0.000    0.004    0.000 weakref.py:468(keys)
      168    0.003    0.000    0.003    0.000 {built-in method nt.stat}
      355    0.001    0.000    0.003    0.000 parsing.py:58(parse_function_signature)
      524    0.000    0.000    0.003    0.000 function.py:351(code)
     4833    0.002    0.000    0.003    0.000 glir.py:420(as_enum)
      308    0.001    0.000    0.003    0.000 {method 'any' of 'numpy.generic' objects}
      508    0.000    0.000    0.003    0.000 function.py:170(__init__)
     2018    0.000    0.000    0.003    0.000 __init__.py:164(match)
      311    0.002    0.000    0.003    0.000 color_array.py:19(_string_to_rgb)
     1850    0.002    0.000    0.003    0.000 buffer.py:325(__init__)
     7717    0.002    0.000    0.003    0.000 weakref.py:451(get)
      159    0.000    0.000    0.003    0.000 multiprogram.py:137(__setitem__)
       28    0.000    0.000    0.003    0.000 _parser.py:969(parse)
      156    0.003    0.000    0.003    0.000 {built-in method context}
      524    0.002    0.000    0.003    0.000 function.py:481(_clean_code)
      155    0.003    0.000    0.003    0.000 _gl2.py:1195(glUniform2fv)
       33    0.000    0.000    0.003    0.000 function.py:475(definition)
       33    0.000    0.000    0.003    0.000 function.py:416(_get_replaced_code)
    94/28    0.000    0.000    0.003    0.000 _parser.py:452(_parse_sub)
      741    0.000    0.000    0.003    0.000 function.py:341(rtype)
   169/28    0.001    0.000    0.003    0.000 _parser.py:512(_parse)
    37002    0.003    0.000    0.003    0.000 {method 'getrandbits' of '_random.Random' objects}
      179    0.001    0.000    0.003    0.000 transform_system.py:312(get_transform)
        8    0.000    0.000    0.003    0.000 multiprogram.py:29(add_program)
        4    0.000    0.000    0.003    0.001 visuals.py:31(__init__)
      164    0.001    0.000    0.003    0.000 texture.py:43(downcast_to_32bit_if_needed)
        8    0.000    0.000    0.003    0.000 program.py:27(__init__)
        1    0.001    0.001    0.003    0.003 _qt.py:1(<module>)
     1699    0.002    0.000    0.003    0.000 _gl2.py:1333(glVertexAttribPointer)
      620    0.003    0.000    0.003    0.000 {built-in method builtins.locals}
        2    0.000    0.000    0.003    0.001 base_camera.py:55(__init__)
      403    0.001    0.000    0.003    0.000 canvas.py:185(update)
        1    0.000    0.000    0.003    0.003 text.py:642(_update_font)
     8821    0.002    0.000    0.003    0.000 __init__.py:1517(debug)
        1    0.000    0.000    0.003    0.003 text.py:139(get_font)
        1    0.000    0.000    0.003    0.003 text.py:49(__init__)
     2127    0.002    0.000    0.002    0.000 {built-in method numpy._core._multiarray_umath.interp}
     1860    0.002    0.000    0.002    0.000 event.py:49(__init__)
       50    0.001    0.000    0.002    0.000 gl2.py:64(_get_gl_func)
       63    0.001    0.000    0.002    0.000 {method 'sub' of 're.Pattern' objects}
      312    0.001    0.000    0.002    0.000 canvas.py:404(set_current)
       12    0.000    0.000    0.002    0.000 node.py:363(transform)
     9565    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.002    0.001 glir.py:1109(link_program)
        8    0.000    0.000    0.002    0.000 program.py:63(frag)
     2793    0.002    0.000    0.002    0.000 weakref.py:121(_commit_removals)
        2    0.000    0.000    0.002    0.001 subscene.py:18(__init__)
      621    0.002    0.000    0.002    0.000 glir.py:508(_filter)
      616    0.001    0.000    0.002    0.000 fromnumeric.py:2925(min)
    24099    0.002    0.000    0.002    0.000 {method 'bit_length' of 'int' objects}
      164    0.000    0.000    0.002    0.000 texture.py:25(convert_dtype_and_clip)
        1    0.002    0.002    0.002    0.002 {built-in method makeCurrent}
      308    0.000    0.000    0.002    0.000 _methods.py:58(_any)
      631    0.001    0.000    0.002    0.000 _ufunc_config.py:410(__enter__)
        1    0.000    0.000    0.002    0.002 markers.py:551(__init__)
      514    0.001    0.000    0.002    0.000 event.py:263(connect)
     5850    0.001    0.000    0.002    0.000 glir.py:459(command)
     7717    0.001    0.000    0.002    0.000 program.py:146(<lambda>)
      179    0.000    0.000    0.002    0.000 _util.py:151(get)
     7717    0.001    0.000    0.002    0.000 variable.py:148(state_id)
       68    0.000    0.000    0.002    0.000 enum.py:720(__call__)
      616    0.002    0.000    0.002    0.000 arrayprint.py:423(_get_formatdict)
     1111    0.000    0.000    0.002    0.000 function.py:371(template_vars)
        2    0.000    0.000    0.002    0.001 _gl2.py:778(glGetParameter)
        1    0.002    0.002    0.002    0.002 _gl2.py:676(_glGetIntegerv)
      328    0.001    0.000    0.002    0.000 texture.py:17(get_dtype_limits)
     4985    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
      156    0.000    0.000    0.002    0.000 canvas.py:439(update)
       39    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
        1    0.000    0.000    0.002    0.002 widget.py:424(add_widget)
     2483    0.002    0.000    0.002    0.000 _gl2.py:42(glBindBuffer)
       39    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
     4379    0.001    0.000    0.002    0.000 _weakrefset.py:21(__enter__)
       28    0.000    0.000    0.002    0.000 _compiler.py:578(_code)
      620    0.001    0.000    0.002    0.000 node.py:614(__repr__)
       12    0.000    0.000    0.002    0.000 enum.py:857(_create_)
      319    0.001    0.000    0.002    0.000 buffer.py:87(set_data)
     2823    0.001    0.000    0.002    0.000 glir.py:1071(activate)
      150    0.000    0.000    0.002    0.000 function.py:403(_parse_template_vars)
      251    0.000    0.000    0.002    0.000 variable.py:32(__init__)
        4    0.000    0.000    0.002    0.000 function.py:530(definition)
     10/8    0.000    0.000    0.002    0.000 node.py:305(_set_canvas)
     7454    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      155    0.000    0.000    0.002    0.000 _qt.py:476(_vispy_update)
        1    0.000    0.000    0.002    0.002 texture.py:959(__init__)
        2    0.000    0.000    0.002    0.001 texture.py:540(__init__)
        2    0.000    0.000    0.002    0.001 texture.py:133(__init__)
      286    0.000    0.000    0.002    0.000 fromnumeric.py:2513(all)
     9768    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      308    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     2081    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
    16066    0.001    0.000    0.001    0.000 {method 'random' of '_random.Random' objects}
      776    0.001    0.000    0.001    0.000 _gl2.py:439(glEnable)
        1    0.000    0.000    0.001    0.001 Class_simulation.py:18(start)
        1    0.000    0.000    0.001    0.001 panzoom.py:51(__init__)
       16    0.000    0.000    0.001    0.000 _util.py:174(_create)
     8101    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
    13327    0.001    0.000    0.001    0.000 {built-in method builtins.id}
    12/10    0.000    0.000    0.001    0.000 base_camera.py:426(view_changed)
     1850    0.001    0.000    0.001    0.000 _weakrefset.py:85(add)
     3040    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
    15434    0.001    0.000    0.001    0.000 compiler.py:41(__getitem__)
   218/28    0.001    0.000    0.001    0.000 _compiler.py:37(_compile)
       24    0.000    0.000    0.001    0.000 node.py:594(node_transform)
        1    0.000    0.000    0.001    0.001 _base.py:12(make_camera)
     6857    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        3    0.000    0.000    0.001    0.000 panzoom.py:248(_update_transform)
     8316    0.001    0.000    0.001    0.000 arrayprint.py:1025(<genexpr>)
      155    0.001    0.000    0.001    0.000 {built-in method update}
       12    0.000    0.000    0.001    0.000 mesh.py:362(_prepare_transforms)
        6    0.000    0.000    0.001    0.000 colormap.py:461(__init__)
       59    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        2    0.000    0.000    0.001    0.001 viewbox.py:87(camera)
     7790    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       54    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      310    0.001    0.000    0.001    0.000 copy.py:200(_deepcopy_tuple)
       36    0.000    0.000    0.001    0.000 event.py:630(add)
     1019    0.001    0.000    0.001    0.000 shader_object.py:51(__init__)
     7704    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
     1086    0.001    0.000    0.001    0.000 wrappers.py:593(glir)
     1546    0.001    0.000    0.001    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      286    0.000    0.000    0.001    0.000 variable.py:97(value)
      960    0.000    0.000    0.001    0.000 color_array.py:224(rgba)
       83    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
      444    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
        2    0.000    0.000    0.001    0.001 glir.py:1132(_get_active_attributes_and_uniforms)
        7    0.000    0.000    0.001    0.000 visual.py:625(add_subvisual)
     3084    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
  198/125    0.000    0.000    0.001    0.000 shader_object.py:133(_dep_changed)
     2006    0.001    0.000    0.001    0.000 linear.py:143(scale)
     8316    0.001    0.000    0.001    0.000 arrayprint.py:1026(<genexpr>)
     2477    0.001    0.000    0.001    0.000 glir.py:562(associate)
      312    0.000    0.000    0.001    0.000 _qt.py:882(_vispy_set_current)
     1842    0.001    0.000    0.001    0.000 globject.py:67(__del__)
       12    0.000    0.000    0.001    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.001    0.001 viewbox.py:171(add)
        8    0.000    0.000    0.001    0.000 transform_system.py:281(scene_transform)
       43    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.001    0.000 base_camera.py:238(set_range)
       20    0.000    0.000    0.001    0.000 preprocessor.py:62(preprocess)
     2529    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      158    0.000    0.000    0.001    0.000 texture.py:322(_resize)
       20    0.000    0.000    0.001    0.000 preprocessor.py:30(merge_includes)
       15    0.000    0.000    0.001    0.000 linear.py:396(matrix)
     7019    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        8    0.001    0.000    0.001    0.000 _gl2.py:706(glGetProgramParameter)
     2111    0.001    0.000    0.001    0.000 event.py:76(_pop_source)
      104    0.000    0.000    0.001    0.000 visual.py:263(update)
        8    0.000    0.000    0.001    0.000 transform_system.py:272(visual_transform)
      112    0.000    0.000    0.001    0.000 visual.py:267(_transform_changed)
        1    0.000    0.000    0.001    0.001 {built-in method setMouseTracking}
     1842    0.001    0.000    0.001    0.000 _weakrefset.py:39(_remove)
      309    0.000    0.000    0.001    0.000 glir.py:1314(_post_draw)
        8    0.000    0.000    0.001    0.000 transform_system.py:290(document_transform)
     2018    0.000    0.000    0.001    0.000 linear.py:152(translate)
        6    0.000    0.000    0.001    0.000 colormap.py:382(__init__)
        8    0.000    0.000    0.001    0.000 transform_system.py:299(canvas_transform)
        4    0.000    0.000    0.001    0.000 parsing.py:76(find_functions)
      507    0.000    0.000    0.001    0.000 function.py:326(name)
       32    0.001    0.000    0.001    0.000 gl2.py:52(_have_context)
        1    0.000    0.000    0.001    0.001 pkgutil.py:1(<module>)
       47    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
       78    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
     2111    0.001    0.000    0.001    0.000 event.py:73(_push_source)
        1    0.000    0.000    0.001    0.001 __init__.py:343(__init__)
     1699    0.001    0.000    0.001    0.000 _gl2.py:448(glEnableVertexAttribArray)
     2490    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 datasets.py:64(load_spatial_filters)
      156    0.000    0.000    0.001    0.000 glir.py:1159(set_texture)
     4817    0.001    0.000    0.001    0.000 event.py:250(source)
