
==== NEW PROFILING RUN ====
         316667 function calls (313840 primitive calls) in 2.439 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.082    0.082 __init__.py:2306(__init__)
        1    0.082    0.082    0.082    0.082 {built-in method _tkinter.create}
     1345    0.002    0.000    0.077    0.000 shader_object.py:51(__init__)
     1434    0.076    0.000    0.076    0.000 weakref.py:367(__init__)
       10    0.069    0.007    0.069    0.007 _gl2.py:210(glCompileShader)
        6    0.000    0.000    0.065    0.011 visuals.py:128(__init__)
       19    0.057    0.003    0.057    0.003 __init__.py:467(_get_buffer)
        5    0.000    0.000    0.051    0.010 program.py:176(set_shaders)
        5    0.042    0.008    0.050    0.010 program.py:244(_parse_variables_from_code)
  957/681    0.007    0.000    0.050    0.000 frozen.py:12(__setattr__)
        3    0.000    0.000    0.049    0.016 widget.py:44(__init__)
        1    0.041    0.041    0.041    0.041 {built-in method close}
  213/212    0.002    0.000    0.037    0.000 chain.py:73(transforms)
        1    0.000    0.000    0.037    0.037 Class_GUI.py:59(add_buttons)
      538    0.006    0.000    0.037    0.000 function.py:190(__setitem__)
        5    0.001    0.000    0.036    0.007 compiler.py:45(compile)
      307    0.036    0.000    0.036    0.000 {method 'astype' of 'numpy.ndarray' objects}
       73    0.000    0.000    0.032    0.000 linear.py:83(__init__)
       10    0.000    0.000    0.031    0.003 glir.py:651(convert_shader)
       10    0.016    0.002    0.031    0.003 glir.py:625(_convert_desktop_shader)
       10    0.000    0.000    0.030    0.003 node.py:44(__init__)
     5050    0.008    0.000    0.029    0.000 _function_base_impl.py:1524(interp)
      100    0.001    0.000    0.029    0.000 linear.py:176(_update_shaders)
       94    0.000    0.000    0.029    0.000 color_array.py:229(rgba)
        5    0.002    0.000    0.028    0.006 compiler.py:125(_rename_objects_pretty)
      611    0.028    0.000    0.028    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.028    0.028 widget.py:457(add_view)
        7    0.000    0.000    0.028    0.004 mesh.py:99(__init__)
      706    0.002    0.000    0.026    0.000 function.py:633(functions)
        9    0.000    0.000    0.022    0.002 node.py:183(parent)
       11    0.000    0.000    0.022    0.002 visuals.py:79(_update_trsys)
        1    0.000    0.000    0.022    0.022 viewbox.py:41(__init__)
       10    0.000    0.000    0.021    0.002 function.py:537(static_names)
        6    0.000    0.000    0.021    0.004 visuals.py:31(__init__)
2068/1803    0.002    0.000    0.020    0.000 shader_object.py:137(changed)
       75    0.000    0.000    0.020    0.000 function.py:377(static_names)
        1    0.000    0.000    0.019    0.019 _qt.py:813(_init_specific)
       41    0.003    0.000    0.019    0.000 parsing.py:120(find_program_variables)
      788    0.019    0.000    0.019    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      193    0.001    0.000    0.019    0.000 chain.py:173(_rebuild_shaders)
        1    0.000    0.000    0.019    0.019 canvas.py:166(central_widget)
      706    0.002    0.000    0.018    0.000 function.py:645(_update)
        5    0.000    0.000    0.017    0.003 visual.py:617(__init__)
     5050    0.016    0.000    0.016    0.000 {built-in method numpy._core._multiarray_umath.interp}
      893    0.016    0.000    0.016    0.000 {method 'copy' of 'numpy.ndarray' objects}
      116    0.000    0.000    0.015    0.000 color_array.py:224(rgba)
     3569    0.002    0.000    0.015    0.000 __init__.py:164(match)
      689    0.001    0.000    0.014    0.000 function.py:351(code)
     2603    0.005    0.000    0.014    0.000 weakref.py:468(keys)
      478    0.002    0.000    0.014    0.000 base_transform.py:67(__init__)
        1    0.000    0.000    0.014    0.014 rectangle.py:44(__init__)
        1    0.000    0.000    0.013    0.013 polygon.py:51(__init__)
      689    0.007    0.000    0.013    0.000 function.py:481(_clean_code)
  289/234    0.000    0.000    0.013    0.000 base_transform.py:146(update)
      392    0.002    0.000    0.012    0.000 shader_object.py:22(create)
      252    0.001    0.000    0.012    0.000 multiprogram.py:98(__setitem__)
       11    0.000    0.000    0.012    0.001 multiprogram.py:29(add_program)
       11    0.000    0.000    0.011    0.001 program.py:27(__init__)
      667    0.002    0.000    0.011    0.000 function.py:170(__init__)
       39    0.003    0.000    0.011    0.000 program.py:143(update_variables)
      105    0.002    0.000    0.011    0.000 linear.py:161(_set_st)
      140    0.000    0.000    0.010    0.000 __init__.py:179(sub)
      206    0.000    0.000    0.010    0.000 {method 'min' of 'numpy.ndarray' objects}
      413    0.004    0.000    0.010    0.000 program.py:305(__setitem__)
   370/64    0.001    0.000    0.010    0.000 chain.py:133(map)
      140    0.008    0.000    0.010    0.000 {method 'sub' of 're.Pattern' objects}
      206    0.000    0.000    0.010    0.000 _methods.py:47(_amin)
       25    0.000    0.000    0.010    0.000 multiprogram.py:107(bind)
     3700    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
      179    0.001    0.000    0.009    0.000 _util.py:111(wrapper)
       13    0.000    0.000    0.009    0.001 node.py:363(transform)
       11    0.000    0.000    0.009    0.001 program.py:63(frag)
     2002    0.001    0.000    0.009    0.000 function.py:317(signature)
        2    0.000    0.000    0.008    0.004 subscene.py:18(__init__)
       41    0.000    0.000    0.008    0.000 glir.py:1556(set_data)
     2406    0.003    0.000    0.008    0.000 _weakrefset.py:27(__exit__)
      633    0.001    0.000    0.008    0.000 __init__.py:174(search)
       33    0.000    0.000    0.008    0.000 node.py:594(node_transform)
      674    0.004    0.000    0.008    0.000 event.py:263(connect)
        5    0.000    0.000    0.008    0.002 glir.py:1109(link_program)
      468    0.003    0.000    0.008    0.000 parsing.py:58(parse_function_signature)
      206    0.000    0.000    0.008    0.000 {method 'max' of 'numpy.ndarray' objects}
     1078    0.004    0.000    0.007    0.000 event.py:475(_prepare_event)
       41    0.007    0.000    0.007    0.000 _gl2.py:1126(glTexSubImage2D)
      206    0.000    0.000    0.007    0.000 _methods.py:43(_amax)
        2    0.000    0.000    0.007    0.004 text.py:642(_update_font)
        2    0.000    0.000    0.007    0.004 base_camera.py:55(__init__)
       39    0.001    0.000    0.007    0.000 glir.py:1326(draw)
        2    0.000    0.000    0.007    0.004 text.py:139(get_font)
        2    0.000    0.000    0.007    0.004 text.py:49(__init__)
       50    0.000    0.000    0.007    0.000 transform_system.py:312(get_transform)
    12/10    0.000    0.000    0.007    0.001 node.py:305(_set_canvas)
    25461    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
      328    0.001    0.000    0.007    0.000 variable.py:32(__init__)
        1    0.000    0.000    0.007    0.007 markers.py:551(__init__)
        1    0.000    0.000    0.006    0.006 line.py:82(__init__)
       50    0.000    0.000    0.006    0.000 _util.py:151(get)
       22    0.000    0.000    0.006    0.000 linear.py:147(scale)
     1149    0.001    0.000    0.006    0.000 function.py:341(rtype)
     4603    0.004    0.000    0.006    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.006    0.006 widget.py:424(add_widget)
      538    0.000    0.000    0.006    0.000 function.py:371(template_vars)
       22    0.000    0.000    0.006    0.000 _util.py:174(_create)
      194    0.001    0.000    0.006    0.000 function.py:403(_parse_template_vars)
        5    0.006    0.001    0.006    0.001 _gl2.py:951(glLinkProgram)
    17672    0.005    0.000    0.005    0.000 {method 'replace' of 'str' objects}
       10    0.000    0.000    0.005    0.001 visual.py:625(add_subvisual)
       25    0.000    0.000    0.005    0.000 glir.py:1395(set_data)
      635    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
        1    0.005    0.005    0.005    0.005 {built-in method create}
       42    0.000    0.000    0.005    0.000 visual.py:520(_configure_gl_state)
      236    0.001    0.000    0.005    0.000 node.py:326(update)
  265/168    0.000    0.000    0.005    0.000 shader_object.py:133(_dep_changed)
       25    0.005    0.000    0.005    0.000 _gl2.py:142(glBufferSubData)
       11    0.000    0.000    0.005    0.000 transform_system.py:272(visual_transform)
       44    0.001    0.000    0.005    0.000 event.py:630(add)
        1    0.000    0.000    0.005    0.005 Class_GUI.py:108(update_fps)
      366    0.002    0.000    0.005    0.000 variable.py:97(value)
    17826    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
       42    0.001    0.000    0.005    0.000 wrappers.py:447(set_state)
      176    0.004    0.000    0.005    0.000 linear.py:96(map)
        1    0.000    0.000    0.005    0.005 panzoom.py:51(__init__)
        5    0.000    0.000    0.004    0.001 texture.py:540(__init__)
       14    0.000    0.000    0.004    0.000 mesh.py:362(_prepare_transforms)
        5    0.000    0.000    0.004    0.001 texture.py:133(__init__)
       11    0.000    0.000    0.004    0.000 transform_system.py:281(scene_transform)
      158    0.000    0.000    0.004    0.000 visual.py:267(_transform_changed)
        8    0.001    0.000    0.004    0.001 parsing.py:76(find_functions)
       11    0.000    0.000    0.004    0.000 transform_system.py:290(document_transform)
      147    0.001    0.000    0.004    0.000 glir.py:1191(set_uniform)
        1    0.000    0.000    0.004    0.004 line.py:127(method)
        2    0.000    0.000    0.004    0.002 texture.py:959(__init__)
        7    0.000    0.000    0.004    0.001 colormap.py:461(__init__)
    13344    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
  147/141    0.000    0.000    0.004    0.000 visual.py:263(update)
      564    0.002    0.000    0.004    0.000 weakref.py:243(values)
      354    0.001    0.000    0.004    0.000 fromnumeric.py:89(_wrapreduction_any_all)
       10    0.000    0.000    0.004    0.000 transform_system.py:299(canvas_transform)
       12    0.000    0.000    0.004    0.000 wrappers.py:562(flush)
        1    0.000    0.000    0.004    0.004 line.py:291(__init__)
    12/10    0.000    0.000    0.004    0.000 base_camera.py:426(view_changed)
      791    0.001    0.000    0.003    0.000 function.py:326(name)
      138    0.003    0.000    0.003    0.000 numeric.py:144(ones)
       43    0.001    0.000    0.003    0.000 texture.py:361(_set_data)
      178    0.000    0.000    0.003    0.000 program.py:87(_dep_changed)
        3    0.000    0.000    0.003    0.001 panzoom.py:248(_update_transform)
        1    0.000    0.000    0.003    0.003 _base.py:12(make_camera)
     2107    0.002    0.000    0.003    0.000 weakref.py:387(_commit_removals)
     5050    0.002    0.000    0.003    0.000 _type_check_impl.py:270(iscomplexobj)
        2    0.000    0.000    0.003    0.002 viewbox.py:87(camera)
      918    0.001    0.000    0.003    0.000 function.py:670(append)
     6650    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
       39    0.001    0.000    0.003    0.000 glir.py:1274(_pre_draw)
      716    0.002    0.000    0.003    0.000 event.py:186(__init__)
        7    0.000    0.000    0.003    0.000 colormap.py:382(__init__)
        1    0.000    0.000    0.003    0.003 viewbox.py:171(add)
  119/118    0.000    0.000    0.003    0.000 visual.py:174(transforms)
       77    0.000    0.000    0.003    0.000 function.py:475(definition)
    10565    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
    14975    0.003    0.000    0.003    0.000 {built-in method builtins.len}
       77    0.001    0.000    0.003    0.000 function.py:416(_get_replaced_code)
      167    0.000    0.000    0.003    0.000 fromnumeric.py:2496(any)
   457/45    0.001    0.000    0.003    0.000 copy.py:118(deepcopy)
     2406    0.002    0.000    0.003    0.000 _weakrefset.py:21(__enter__)
     1335    0.002    0.000    0.003    0.000 shader_object.py:111(_add_dep)
       10    0.000    0.000    0.003    0.000 transform_system.py:308(framebuffer_transform)
        6    0.000    0.000    0.003    0.000 viewbox.py:197(_update_scene_clipper)
      875    0.002    0.000    0.003    0.000 event.py:388(_normalize_cb)
       27    0.000    0.000    0.003    0.000 visual.py:545(attach)
        3    0.000    0.000    0.003    0.001 base_camera.py:238(set_range)
      406    0.000    0.000    0.003    0.000 function.py:694(remove)
       30    0.000    0.000    0.003    0.000 multiprogram.py:137(__setitem__)
       10    0.000    0.000    0.003    0.000 markers.py:807(_prepare_draw)
      538    0.002    0.000    0.003    0.000 eq.py:5(eq)
       27    0.000    0.000    0.002    0.000 base_filter.py:91(_attach)
       15    0.000    0.000    0.002    0.000 linear.py:396(matrix)
     2525    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
       19    0.001    0.000    0.002    0.000 texture.py:385(__setitem__)
      327    0.000    0.000    0.002    0.000 variable.py:71(name)
       33    0.000    0.000    0.002    0.000 color_array.py:392(__init__)
      204    0.001    0.000    0.002    0.000 _util.py:50(as_vec4)
      938    0.002    0.000    0.002    0.000 event.py:49(__init__)
       32    0.000    0.000    0.002    0.000 preprocessor.py:62(preprocess)
      837    0.001    0.000    0.002    0.000 glir.py:543(command)
        2    0.000    0.000    0.002    0.001 datasets.py:64(load_spatial_filters)
       32    0.000    0.000    0.002    0.000 preprocessor.py:30(merge_includes)
      396    0.002    0.000    0.002    0.000 shape_base.py:81(atleast_2d)
       45    0.001    0.000    0.002    0.000 buffer.py:175(set_data)
       45    0.000    0.000    0.002    0.000 copy.py:217(_deepcopy_dict)
     2724    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
        9    0.000    0.000    0.002    0.000 transform_system.py:336(pixel_scale)
       10    0.002    0.000    0.002    0.000 _gl2.py:1021(glShaderSource)
   556/20    0.001    0.000    0.002    0.000 shader_object.py:80(dependencies)
       22    0.000    0.000    0.002    0.000 wrappers.py:186(clear)
      160    0.002    0.000    0.002    0.000 {built-in method numpy.zeros}
        5    0.000    0.000    0.002    0.000 glir.py:1132(_get_active_attributes_and_uniforms)
        6    0.000    0.000    0.002    0.000 linear.py:342(__init__)
      138    0.000    0.000    0.002    0.000 buffer.py:251(__getitem__)
       43    0.000    0.000    0.002    0.000 texture.py:43(downcast_to_32bit_if_needed)
       19    0.000    0.000    0.002    0.000 texture.py:340(set_data)
      416    0.001    0.000    0.002    0.000 shader_object.py:121(_remove_dep)
      318    0.001    0.000    0.002    0.000 {built-in method builtins.sorted}
      187    0.000    0.000    0.002    0.000 fromnumeric.py:2611(all)
        2    0.000    0.000    0.002    0.001 _qt.py:909(resizeGL)
        3    0.000    0.000    0.002    0.001 linear.py:217(as_matrix)
       39    0.000    0.000    0.002    0.000 program.py:297(_process_pending_variables)
    13/10    0.000    0.000    0.002    0.000 visual.py:766(attach)
     3986    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     6973    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
       20    0.000    0.000    0.002    0.000 linear.py:387(shader_imap)
       10    0.000    0.000    0.002    0.000 wrappers.py:218(set_clear_color)
  106/101    0.000    0.000    0.002    0.000 visual.py:651(_subv_update)
        2    0.000    0.000    0.002    0.001 canvas.py:502(on_resize)
       24    0.000    0.000    0.002    0.000 buffer.py:139(__init__)
        2    0.000    0.000    0.002    0.001 canvas.py:623(_update_transforms)
        2    0.000    0.000    0.002    0.001 preprocessor.py:36(replace)
        2    0.000    0.000    0.002    0.001 transform_system.py:175(configure)
        6    0.000    0.000    0.002    0.000 color.py:117(__init__)
       22    0.000    0.000    0.002    0.000 event.py:608(__init__)
       24    0.000    0.000    0.002    0.000 buffer.py:40(__init__)
      212    0.001    0.000    0.002    0.000 __init__.py:1576(get_kerning)
       20    0.000    0.000    0.002    0.000 buffer.py:417(__init__)
       43    0.000    0.000    0.002    0.000 texture.py:25(convert_dtype_and_clip)
      471    0.001    0.000    0.001    0.000 event.py:372(disconnect)
        6    0.000    0.000    0.001    0.000 linear.py:497(reset)
       10    0.000    0.000    0.001    0.000 function.py:530(definition)
      559    0.001    0.000    0.001    0.000 compiler.py:173(_is_global)
      534    0.001    0.000    0.001    0.000 glir.py:420(as_enum)
     5786    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       10    0.000    0.000    0.001    0.000 visual.py:184(get_transform)
       64    0.001    0.000    0.001    0.000 function.py:701(definition)
        5    0.000    0.000    0.001    0.000 linear.py:245(set_mapping)
       46    0.000    0.000    0.001    0.000 visual.py:654(_transform_changed)
       27    0.000    0.000    0.001    0.000 visual.py:523(_get_hook)
       19    0.001    0.000    0.001    0.000 _gl2.py:409(glDrawArrays)
        7    0.000    0.000    0.001    0.000 colormap.py:125(_glsl_mix)
      194    0.000    0.000    0.001    0.000 parsing.py:138(find_template_variables)
       20    0.000    0.000    0.001    0.000 linear.py:382(shader_map)
       22    0.001    0.000    0.001    0.000 function.py:513(__init__)
        1    0.000    0.000    0.001    0.001 markers.py:800(_prepare_transforms)
      817    0.001    0.000    0.001    0.000 weakref.py:451(get)
      120    0.001    0.000    0.001    0.000 glir.py:1231(set_attribute)
     1551    0.001    0.000    0.001    0.000 weakref.py:427(__setitem__)
        2    0.000    0.000    0.001    0.001 _npyio_impl.py:312(load)
     4436    0.001    0.000    0.001    0.000 {built-in method builtins.min}
        6    0.000    0.000    0.001    0.000 picking.py:27(__init__)
       86    0.000    0.000    0.001    0.000 texture.py:17(get_dtype_limits)
       25    0.000    0.000    0.001    0.000 _shape_base_impl.py:1216(tile)
     2406    0.001    0.000    0.001    0.000 _weakrefset.py:17(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method doneCurrent}
        4    0.000    0.000    0.001    0.000 transform_system.py:162(_update_if_maps_changed)
      383    0.000    0.000    0.001    0.000 compiler.py:186(_name_available)
       22    0.000    0.000    0.001    0.000 glir.py:1545(set_size)
       20    0.001    0.000    0.001    0.000 _gl2.py:418(glDrawElements)
        7    0.000    0.000    0.001    0.000 colormap.py:245(__init__)
      194    0.000    0.000    0.001    0.000 __init__.py:209(findall)
     3248    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1078    0.001    0.000    0.001    0.000 event.py:73(_push_source)
     1209    0.001    0.000    0.001    0.000 function.py:333(args)
      837    0.001    0.000    0.001    0.000 glir.py:459(command)
      330    0.000    0.000    0.001    0.000 glir.py:1071(activate)
        3    0.000    0.000    0.001    0.000 text.py:605(_prepare_transforms)
      138    0.001    0.000    0.001    0.000 buffer.py:325(__init__)
       12    0.001    0.000    0.001    0.000 _gl2.py:466(glFlush)
     2891    0.001    0.000    0.001    0.000 event.py:250(source)
      982    0.001    0.000    0.001    0.000 __init__.py:1517(debug)
       64    0.001    0.000    0.001    0.000 glir.py:508(_filter)
     1675    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      243    0.000    0.000    0.001    0.000 glir.py:562(associate)
     5110    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
       50    0.000    0.000    0.001    0.000 globject.py:54(__init__)
       16    0.000    0.000    0.001    0.000 mesh.py:155(set_data)
        7    0.001    0.000    0.001    0.000 cubehelix.py:35(cubehelix)
       13    0.000    0.000    0.001    0.000 base_filter.py:65(__init__)
     1078    0.001    0.000    0.001    0.000 event.py:76(_pop_source)
       45    0.000    0.000    0.001    0.000 buffer.py:87(set_data)
        4    0.000    0.000    0.001    0.000 visuals.py:48(_set_clipper)
      164    0.001    0.000    0.001    0.000 _gl2.py:1333(glVertexAttribPointer)
     5562    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
        4    0.001    0.000    0.001    0.000 _gl2.py:1092(glTexImage2D)
      416    0.001    0.000    0.001    0.000 weakref.py:503(pop)
       27    0.000    0.000    0.001    0.000 function.py:760(add)
        4    0.000    0.000    0.001    0.000 widget.py:116(size)
       22    0.001    0.000    0.001    0.000 _gl2.py:165(glClear)
        2    0.001    0.000    0.001    0.000 datasets.py:38(pack_unit)
      109    0.001    0.000    0.001    0.000 _gl2.py:575(glGetActiveUniform)
       32    0.001    0.000    0.001    0.000 function_base.py:25(linspace)
        6    0.000    0.000    0.001    0.000 color.py:126(alpha)
       75    0.000    0.000    0.001    0.000 chain.py:241(__del__)
      235    0.000    0.000    0.001    0.000 compiler.py:196(_assign_name)
       10    0.000    0.000    0.001    0.000 mesh.py:356(_prepare_draw)
       26    0.001    0.000    0.001    0.000 color_array.py:19(_string_to_rgb)
     5050    0.001    0.000    0.001    0.000 _function_base_impl.py:1520(_interp_dispatcher)
        1    0.000    0.000    0.001    0.001 mesh.py:312(_update_data)
        9    0.000    0.000    0.001    0.000 node.py:214(_add_child)
       11    0.000    0.000    0.001    0.000 program.py:52(vert)
        7    0.001    0.000    0.001    0.000 colormap.py:203(_process_glsl_template)
       25    0.000    0.000    0.001    0.000 glir.py:1389(set_size)
      415    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
      900    0.001    0.000    0.001    0.000 inspect.py:295(isclass)
      424    0.001    0.000    0.001    0.000 __init__.py:1346(get_char_index)
        4    0.001    0.000    0.001    0.000 {built-in method _io.open}
       36    0.001    0.000    0.001    0.000 _gl2.py:1187(glUniform1fv)
       22    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.generic' objects}
        3    0.000    0.000    0.001    0.000 line.py:320(_prepare_transforms)
    24/19    0.000    0.000    0.001    0.000 node.py:388(_update_trsys)
       19    0.001    0.000    0.001    0.000 __init__.py:1518(load_char)
     5050    0.001    0.000    0.001    0.000 _type_check_impl.py:171(_is_type_dispatcher)
        4    0.000    0.000    0.001    0.000 widget.py:349(_update_line)
     2406    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
      817    0.001    0.000    0.001    0.000 variable.py:148(state_id)
      282    0.001    0.000    0.001    0.000 weakref.py:121(_commit_removals)
        1    0.001    0.001    0.001    0.001 base.py:119(__call__)
       10    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
      382    0.000    0.000    0.001    0.000 linear.py:143(scale)
      817    0.000    0.000    0.001    0.000 program.py:146(<lambda>)
     1170    0.001    0.000    0.001    0.000 {method 'groups' of 're.Match' objects}
      394    0.000    0.000    0.001    0.000 linear.py:152(translate)
     1718    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      5/4    0.000    0.000    0.001    0.000 widget.py:418(_update_child_widgets)
       19    0.000    0.000    0.001    0.000 texture.py:968(get_free_region)
       39    0.001    0.000    0.001    0.000 _gl2.py:1289(glUseProgram)
        2    0.000    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 widget.py:242(rect)
        7    0.000    0.000    0.001    0.000 clipper.py:42(bounds)
      868    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       42    0.000    0.000    0.001    0.000 copy.py:200(_deepcopy_tuple)
      285    0.001    0.000    0.001    0.000 _gl2.py:42(glBindBuffer)
       10    0.000    0.000    0.001    0.000 program.py:56(__init__)
       51    0.000    0.000    0.001    0.000 glir.py:538(__init__)
       17    0.001    0.000    0.001    0.000 _gl2.py:123(glBufferData)
      547    0.001    0.000    0.001    0.000 {built-in method builtins.any}
       54    0.000    0.000    0.001    0.000 chain.py:208(_subtr_changed)
      875    0.000    0.000    0.001    0.000 inspect.py:299(ismethod)
       42    0.000    0.000    0.001    0.000 buffer.py:423(_prepare_data)
      966    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      605    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
        3    0.000    0.000    0.001    0.000 linear.py:193(zoom)
      194    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
      149    0.000    0.000    0.001    0.000 wrappers.py:593(glir)
       92    0.000    0.000    0.001    0.000 numerictypes.py:471(issubdtype)
       51    0.000    0.000    0.001    0.000 glir.py:453(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method makeCurrent}
       13    0.000    0.000    0.001    0.000 function.py:306(__call__)
       22    0.000    0.000    0.001    0.000 _methods.py:59(_any)
      956    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
      584    0.000    0.000    0.001    0.000 enum.py:197(__get__)
        2    0.000    0.000    0.001    0.000 format.py:765(read_array)
